year;harke;hearke;hark;heark;harken;hearken
1470;0;0;0;0;0;0
1480;0;0;0;0;1;0
1490;2;0;0;0;1;0
1500;0;0;0;0;2;0
1510;0;0;0;0;1;0
1520;12;0;3;0;13;0
1530;24;1;2;0;73;0
1540;41;0;0;0;115;13
1550;14;3;1;0;60;16
1560;55;19;4;0;163;318
1570;57;7;2;1;384;305
1580;53;11;4;0;342;480
1590;166;45;20;5;206;293
1600;333;45;52;12;197;425
1610;210;53;11;4;243;542
1620;177;79;26;2;117;688
1630;247;65;28;52;115;712
1640;122;23;80;43;86;1108
1650;70;13;253;147;188;2261
1660;43;0;371;116;33;1502
1670;3;1;411;140;60;1355
1680;2;0;413;174;54;1672
1690;6;0;594;101;55;1214