year;darke;dark;barke;bark;harke;hark
1470;0;0;5;0;0;0
1480;2;0;9;6;0;0
1490;5;0;7;0;2;0
1500;6;0;8;0;0;0
1510;6;0;4;0;0;0
1520;57;2;29;2;12;3
1530;247;9;72;4;24;2
1540;357;15;105;8;41;0
1550;293;40;60;24;14;1
1560;710;77;219;42;55;4
1570;1040;116;517;39;57;2
1580;1059;118;649;42;53;4
1590;1171;123;438;43;166;20
1600;1478;131;1009;74;333;52
1610;1653;211;807;86;210;11
1620;1509;184;1006;75;177;26
1630;1771;392;945;228;247;28
1640;1312;1243;276;330;122;80
1650;783;5442;192;1347;70;253
1660;98;4230;58;746;43;371
1670;45;4590;24;1306;3;411
1680;47;5399;13;1195;2;413
1690;11;4971;2;1119;6;594